
# Efinity Pinout Report
# Version: 2022.1.226
# Date: 2022-12-14 00:38

# Copyright (C) 2017 - 2022 Efinix Inc. All rights reserved.

# Device: T35F400
# Package status: final
# Project: T35_ADDR_LINES_W_Z80_2
# Configuration mode: active (x4)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,GPIOT_RXN13,s100_sM1.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
A3,GPIOT_RXP13,,,2B,3.3 V,,,User IO
A4,GPIOT_RXN05,,,2A,3.3 V,,,User IO
A5,GPIOT_RXP05,,,2A,3.3 V,,,User IO
A6,GPIOT_RXN06,,,2A,3.3 V,,,User IO
A7,GPIOT_RXP06,,,2A,3.3 V,,,User IO
A8,GPIOT_RXP03,,,2A,3.3 V,,,User IO
A9,GPIOT_RXP02,,,2A,3.3 V,,,User IO
A10,GPIOT_RXN02,,,2A,3.3 V,,,User IO
A11,GPIOL_108_CBSEL0,,Input,1E,3.3 V,,weak pullup,User IO
A12,GPIOL_109_CBSEL1,,Input,1E,3.3 V,,weak pullup,User IO
A13,GPIOL_106,,Input,1E,3.3 V,,weak pullup,User IO
A14,GPIOL_107,,Input,1E,3.3 V,,weak pullup,User IO
A15,GPIOL_105,,Input,1E,3.3 V,,weak pullup,User IO
A16,GPIOL_97,,Input,1E,3.3 V,,weak pullup,User IO
A17,GPIOL_90,,Input,1D,3.3 V,,weak pullup,User IO
A18,GPIOL_88,,Input,1D,3.3 V,,weak pullup,User IO
A19,GPIOL_86,,Input,1D,3.3 V,,weak pullup,User IO
A20,GND,,Power,,,,,Ground
B1,GPIOT_RXN16_EXTFB1,,,2B,3.3 V,,,User IO
B2,GPIOT_RXP16_EXTFB1,s100_PHI.RXP,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
B3,GPIOT_RXN15,s100_clock.RXN,Output,2B,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
B4,GND,,Power,,,,,Ground
B5,GPIOT_RXN08_CLKN0,s100_sHLTA.RXN,Output,2A,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
